event_id,detected_at,severity,anomaly_score,trigger_conditions,affected_topics,neg_ratio,mention_velocity,evidence_post_ids
ce_3a1e11849c22,2026-02-16 04:00:00,HIGH,0.29961,"[""global_spike_z2.09"", ""per_post_spike""]",[],0.75,4.0,"[""5041453"", ""5039915""]"
ce_c658242adb85,2026-02-16 05:00:00,HIGH,0.416219,"[""global_spike_z2.57"", ""per_post_spike""]",[],0.928571,3.0,"[""5039915"", ""5041379"", ""5041453""]"
ce_9d60bad3364f,2026-02-16 15:00:00,LOW,0.235591,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5041453""]"
ce_b41ec730f633,2026-02-16 17:00:00,LOW,0.236661,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5041453""]"
ce_68824fe1d55d,2026-02-16 19:00:00,LOW,0.237532,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5041453""]"
ce_79c76e6f2977,2026-02-17 06:00:00,LOW,0.236447,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5041453""]"
ce_690150823f50,2026-02-19 07:00:00,LOW,0.243257,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5042220""]"
ce_d6a6e0aaa78b,2026-02-19 13:00:00,LOW,0.243356,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5042220""]"
ce_5b06d9744099,2026-02-22 03:00:00,HIGH,0.352485,"[""global_spike_z2.14"", ""per_post_spike""]",[],0.769231,6.0,"[""5042655""]"
ce_75b258ab3677,2026-02-22 23:00:00,LOW,0.24032,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5042655"", ""5042751""]"
ce_f5f2c4719d61,2026-02-23 07:00:00,LOW,0.238887,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5042655""]"
ce_799c0f642c56,2026-02-23 14:00:00,LOW,0.237857,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5042655""]"
ce_7f42847d0357,2026-02-24 06:00:00,HIGH,0.362875,"[""global_spike_z2.48"", ""per_post_spike""]",[],0.785714,5.0,"[""5043390""]"
ce_fc3295bfb911,2026-02-24 07:00:00,HIGH,0.390037,"[""global_spike_z4.15"", ""per_post_spike""]",[],0.619048,4.0,"[""5043390"", ""5041256"", ""5043370""]"
ce_e310803aa038,2026-02-24 08:00:00,HIGH,0.492267,"[""global_spike_z4.20"", ""per_post_spike""]",[],0.772727,5.0,"[""5043390"", ""5042655"", ""5043370""]"
ce_77f2726f95f8,2026-02-24 09:00:00,HIGH,0.426431,"[""global_spike_z3.47"", ""per_post_spike""]",[],0.789474,4.0,"[""5043390"", ""5043453""]"
ce_d508a62b8814,2026-02-24 10:00:00,HIGH,0.329705,"[""global_spike_z2.45"", ""per_post_spike""]",[],0.733333,5.0,"[""5043390"", ""5043370"", ""5043453""]"
ce_d2d28df5b332,2026-02-25 04:00:00,HIGH,0.294852,"[""global_spike_z2.19"", ""per_post_spike""]",[],0.714286,5.0,"[""5043390"", ""5043858""]"
ce_32660d3d901a,2026-02-25 18:00:00,LOW,0.233342,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5043764""]"
ce_7d77c8cf67f5,2026-02-26 00:00:00,HIGH,0.427129,"[""global_spike_z3.86"", ""per_post_spike""]",[],0.772727,3.0,"[""5043764"", ""5044150""]"
ce_fead7a0d7dab,2026-02-26 01:00:00,HIGH,0.519887,"[""isolation_forest"", ""global_spike_z7.15"", ""per_post_spike""]",[],0.697674,6.0,"[""5043764"", ""5044150"", ""5043756""]"
ce_2a6870003f33,2026-02-26 03:00:00,HIGH,0.348496,"[""global_spike_z3.25"", ""per_post_spike""]",[],0.666667,5.0,"[""5043764"", ""5043756""]"
ce_35b57571008b,2026-02-26 14:00:00,LOW,0.238826,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5043764""]"
ce_c98a3c58af2d,2026-02-26 15:00:00,LOW,0.238826,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5042878"", ""5043764""]"
ce_2c274772d8ae,2026-02-28 15:00:00,HIGH,0.329744,"[""isolation_forest"", ""per_post_spike""]",[],0.9375,1.0,"[""5043024""]"
ce_309c7742edb5,2026-02-28 21:00:00,LOW,0.239473,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5043024""]"
ce_2a7a2ed81751,2026-03-01 09:00:00,LOW,0.242232,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5043024"", ""5044900""]"
ce_7228eb3f307e,2026-03-02 03:00:00,HIGH,0.53324,"[""isolation_forest"", ""global_spike_z5.01"", ""per_post_spike""]",[],0.780488,4.0,"[""5043024"", ""5045417"", ""5045305""]"
ce_b23ded7c4e5d,2026-03-04 13:00:00,MEDIUM,0.253915,"[""isolation_forest"", ""per_post_spike""]",[],1.0,3.0,"[""5040195"", ""5043024"", ""5046331""]"
ce_908b7c228cb5,2026-03-06 06:00:00,MEDIUM,0.25771,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5046758""]"
ce_ae31443c38ee,2026-03-08 08:00:00,LOW,0.11191,"[""isolation_forest"", ""per_post_spike""]",[],0.75,1.0,"[""5047807""]"
ce_6692a6bc0e7a,2026-03-08 23:00:00,MEDIUM,0.25784,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5047807""]"
ce_eebc6c97ff32,2026-03-09 12:00:00,MEDIUM,0.255234,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5047807""]"
